pagamento_id,cliente_id,produto_id,data_pagamento,valor_pago,valor_juros,atraso_dias
46,493,664,2024-12-09,1021.61,141.68,0
47,121,640,2023-08-18,586.96,152.9,0
48,481,124,2024-02-25,1104.23,120.59,0
49,411,658,2024-08-09,652.5,63.73,0
50,173,277,2025-07-18,1406.25,113.04,5
51,4,822,2025-01-26,993.55,107.89,0
52,342,394,2025-06-07,971.73,154.79,0
53,128,664,2025-03-12,1968.92,205.66,0
54,474,360,2024-02-26,845.65,290.79,5
55,480,623,2024-01-02,788.36,51.81,10
56,472,469,2025-02-19,705.35,263.17,0
57,110,985,2024-05-05,1800.02,92.41,0
58,355,628,2025-02-23,1043.78,181.5,0
59,37,700,2025-05-08,1240.03,168.55,0
60,480,57,2023-08-26,443.56,171.52,0
61,71,251,2024-06-13,1127.79,219.77,0
62,289,896,2024-12-04,621.83,120.69,0
63,31,919,2024-01-23,1488.21,102.54,0
64,439,150,2024-06-17,1681.8,257.32,0
65,381,452,2024-03-07,1458.14,73.83,0
66,268,162,2024-03-10,1487.46,62.27,5
67,11,120,2025-03-09,1073.7,14.53,0
68,344,582,2024-03-31,1453.02,71.07,0
69,328,924,2025-06-08,903.11,160.37,0
70,32,351,2024-07-09,1337.83,166.17,0
71,57,99,2024-10-13,592.17,83.78,0
72,166,167,2024-06-24,232.54,30.96,0
73,188,810,2023-12-24,885.6,225.95,0
74,342,663,2025-06-15,977.38,229.81,0
75,482,838,2023-11-13,587.17,299.37,0
76,19,976,2023-11-30,1482.65,271.01,0
77,116,514,2025-03-22,239.75,278.56,0
78,468,664,2024-04-25,523.22,241.48,0
79,184,401,2024-09-19,1522.27,188.5,5
80,270,365,2025-01-06,930.54,47.28,0
81,33,577,2024-03-07,1440.04,190.47,15
82,10,326,2023-11-25,1178.22,26.23,0
83,80,581,2025-05-23,1906.35,266.74,0
84,192,633,2025-03-18,1235.81,149.73,5
85,320,621,2024-07-22,128.25,212.27,0
86,190,828,2024-03-07,770.47,25.15,30
87,68,247,2024-09-14,371.82,164.93,0
88,475,434,2024-10-09,1856.8,97.37,0
89,348,93,2023-08-19,297.62,92.64,0
90,125,268,2024-09-17,836.64,123.0,0
91,427,615,2025-04-28,529.59,10.19,5
92,336,943,2025-02-24,1708.77,145.33,0
93,59,963,2024-05-09,686.28,151.1,0
94,436,624,2025-05-19,1984.6,260.31,0
95,97,321,2024-06-01,173.37,140.07,0
96,496,923,2025-03-23,343.73,115.43,0
97,275,816,2023-12-14,526.81,298.48,0
98,149,856,2024-07-01,1641.1,175.65,0
99,278,62,2024-06-26,1769.18,147.06,0
100,265,300,2025-06-14,235.76,153.82,0
101,9,403,2023-11-14,161.67,244.66,0
102,457,955,2024-03-20,1514.66,108.8,5
103,283,648,2024-07-28,353.37,122.86,0
104,273,567,2023-09-23,352.7,229.2,0
105,428,620,2024-03-25,142.5,31.17,0
106,301,303,2023-10-15,194.63,260.9,0
107,8,770,2024-11-06,600.98,134.76,0
108,208,253,2024-07-28,223.51,178.57,0
109,402,734,2024-11-11,800.87,229.67,0
110,125,478,2025-01-10,1682.27,87.16,0
111,123,369,2024-04-10,720.01,268.19,0
112,33,679,2024-07-01,1482.88,293.98,0
113,1,941,2023-11-07,278.43,153.34,0
114,204,160,2025-03-13,1352.81,281.71,0
115,6,961,2025-01-19,701.82,10.33,0
116,297,166,2025-05-24,1524.53,269.33,5
117,439,205,2024-05-19,358.88,100.2,0
118,5,267,2025-03-09,1805.98,100.33,0
119,443,138,2025-07-08,560.9,76.15,10
120,80,368,2024-06-23,770.96,101.93,0
121,274,443,2024-05-11,1905.34,71.91,0
122,177,858,2025-04-07,1199.12,272.7,0
123,338,760,2023-08-01,794.97,270.72,0
124,321,567,2024-03-17,1904.24,39.64,5
125,339,916,2024-10-25,725.25,51.43,0
126,438,721,2025-03-07,280.25,259.99,0
127,445,17,2024-08-20,1994.01,125.69,0
128,136,68,2023-11-02,608.91,59.09,10
129,387,133,2023-08-31,1717.39,158.09,0
130,25,700,2024-11-05,414.53,130.83,5
131,325,919,2023-12-21,1489.57,73.56,0
132,183,430,2024-05-31,1096.45,219.02,0
133,168,308,2024-11-04,1963.72,193.07,0
134,467,650,2025-05-25,1150.38,38.9,0
135,338,174,2025-05-01,147.53,278.36,0
136,178,412,2023-09-05,1247.37,171.96,10
137,373,97,2024-10-21,376.1,82.56,0
138,95,683,2024-08-09,1617.23,69.82,0
139,33,154,2024-01-16,1727.48,49.42,0
140,111,695,2025-01-29,1015.98,133.14,0
141,146,242,2025-05-25,1588.12,49.31,0
142,381,304,2025-07-13,375.71,130.59,0
143,441,285,2024-02-09,1034.95,53.14,0
144,231,27,2023-08-12,848.49,200.47,0
145,272,402,2024-10-26,1261.5,237.72,30
146,336,360,2025-04-10,184.51,169.36,0
147,495,60,2024-06-18,1529.03,207.22,0
148,38,202,2024-10-04,250.35,282.13,0
149,425,762,2024-11-25,1347.3,195.13,5
150,135,874,2024-02-04,135.07,115.61,0
151,334,581,2024-05-14,1680.59,140.35,0
152,235,970,2025-03-07,431.93,259.55,5
153,437,370,2025-01-05,1079.45,47.91,5
154,319,533,2025-05-08,596.84,104.46,5
155,368,152,2024-08-12,1473.03,177.41,0
156,345,102,2024-10-06,710.57,206.15,0
157,160,899,2024-09-13,1476.76,231.41,0
158,38,1000,2024-07-27,641.26,102.28,0
159,150,607,2025-01-06,1529.7,52.3,0
160,400,446,2023-10-11,158.15,286.9,0
161,308,873,2023-09-13,638.29,32.15,15
162,29,229,2023-12-26,1047.4,37.78,0
163,144,125,2024-08-17,185.61,153.53,0
164,76,770,2025-02-03,453.46,247.59,0
165,145,834,2024-09-30,1875.62,234.61,0
166,229,999,2024-08-14,1955.99,281.93,0
167,64,881,2024-02-05,1505.52,51.06,0
168,347,938,2025-03-29,579.18,118.96,0
169,345,236,2024-08-27,594.98,91.82,0
170,269,162,2025-03-06,1327.0,259.65,0
171,328,554,2024-01-30,323.44,151.62,0
172,184,788,2024-05-27,1901.79,17.79,0
173,261,353,2024-02-03,527.14,215.31,0
174,268,68,2024-07-04,1999.31,122.72,0
175,169,173,2023-10-18,1041.89,164.03,0
176,259,843,2025-05-25,1565.72,269.2,0
177,227,637,2024-11-15,104.15,84.45,0
178,33,682,2024-06-26,1788.62,79.68,15
179,377,559,2025-05-10,613.0,86.33,15
180,214,261,2024-01-08,1369.08,108.05,0
181,50,217,2024-11-16,1632.08,41.13,0
182,440,817,2023-08-24,411.88,212.19,0
183,492,124,2024-01-02,940.77,70.15,15
184,393,805,2023-09-28,1038.29,278.58,0
185,489,162,2024-09-18,693.03,72.55,0
186,210,201,2024-06-19,1015.34,84.14,0
187,434,454,2024-10-22,703.34,96.14,0
188,29,402,2024-08-29,785.42,232.88,0
189,39,462,2024-06-09,1371.73,134.01,0
190,347,275,2023-12-01,1301.93,247.61,0
191,100,206,2024-06-19,541.3,237.61,0
192,173,40,2025-03-22,1805.22,279.55,0
193,17,273,2024-01-20,1739.3,229.42,5
194,56,700,2025-06-05,1067.26,25.05,0
195,226,867,2024-11-24,923.18,252.81,0
196,46,93,2025-05-10,816.03,282.04,0
197,67,42,2025-06-02,1443.81,298.17,0
198,197,465,2024-10-10,1376.17,46.33,0
199,142,379,2024-04-03,472.74,187.85,0
200,323,107,2024-02-25,1375.77,67.84,0
201,23,328,2024-01-02,579.62,86.13,0
202,487,65,2023-10-31,135.26,226.22,0
203,94,365,2025-02-09,1428.5,293.52,0
204,242,821,2025-04-29,1325.11,182.51,0
205,237,484,2024-05-20,880.54,256.67,0
206,445,647,2025-05-24,1098.8,12.58,0
207,407,901,2023-09-13,1899.62,20.62,0
208,411,24,2025-07-18,1230.88,183.05,0
209,54,540,2024-08-21,1349.98,122.81,0
210,138,62,2025-04-10,221.43,268.03,5
211,473,491,2024-08-07,415.39,97.57,0
212,333,273,2024-08-25,671.81,135.29,0
213,272,229,2023-10-05,1124.82,163.09,0
214,41,20,2025-02-21,1575.52,89.18,10
215,98,3,2023-08-03,710.36,273.46,0
216,183,421,2024-02-29,777.13,144.71,5
217,128,730,2023-10-03,586.69,133.01,0
218,229,911,2024-02-23,583.76,256.43,0
219,317,307,2025-04-14,1902.84,100.47,0
220,86,432,2024-11-04,1307.37,247.06,0
221,256,136,2025-07-21,396.21,45.46,0
222,209,909,2025-05-05,1472.27,63.01,0
223,215,944,2023-09-09,1471.84,285.74,0
224,374,515,2023-08-31,1366.29,254.31,0
225,100,193,2024-12-18,355.97,122.49,0
226,49,585,2023-08-21,875.18,195.15,0
227,201,415,2023-10-20,302.84,283.46,0
228,436,873,2024-09-28,1651.58,71.44,15
229,258,118,2024-02-28,1344.83,27.11,0
230,480,666,2024-02-12,1063.69,165.87,0
231,376,209,2024-11-26,751.73,51.35,0
232,178,952,2024-01-01,450.07,64.32,0
233,245,34,2024-07-22,302.25,268.55,0
234,123,649,2025-03-14,1941.56,12.15,10
235,342,318,2025-07-15,479.33,246.88,0
236,171,120,2025-05-12,213.76,159.92,5
237,333,627,2025-06-10,1927.17,172.2,0
238,136,525,2023-10-25,1143.01,204.81,5
239,59,581,2024-01-08,1613.65,135.12,0
240,193,937,2024-04-10,183.16,43.53,0
241,465,845,2025-06-08,1177.2,39.82,0
242,268,769,2025-04-29,856.6,228.77,0
243,260,89,2023-08-09,1566.73,74.1,0
244,373,512,2023-09-01,173.01,18.15,0
245,461,47,2025-06-23,863.21,294.09,0
246,95,772,2023-12-25,1618.24,294.31,10
247,125,740,2024-05-25,1093.12,119.66,0
248,41,959,2025-07-08,1145.07,17.4,0
249,379,692,2024-02-25,284.61,220.91,0
250,254,522,2024-05-19,351.43,250.99,0
251,7,284,2024-10-23,1386.3,46.25,0
252,471,377,2025-04-01,1382.59,49.28,5
253,216,638,2024-05-26,1960.3,248.44,0
254,69,134,2023-11-09,1452.71,277.35,10
255,69,667,2023-09-21,1037.16,239.32,0
256,81,248,2023-09-15,1728.92,68.22,0
257,30,652,2024-02-29,298.5,129.34,0
258,73,318,2024-04-12,953.66,184.24,5
259,262,436,2024-07-25,645.51,56.49,0
260,89,176,2024-01-06,298.81,71.07,5
261,403,835,2024-03-01,1550.65,92.04,0
262,208,686,2025-02-07,1070.5,157.76,0
263,213,993,2024-02-20,1157.86,158.13,0
264,322,586,2024-04-12,881.38,246.15,0
265,266,351,2025-06-16,974.64,228.37,0
266,400,143,2024-01-27,320.43,274.98,5
267,293,967,2024-01-14,1378.54,251.54,30
268,207,804,2024-11-11,921.65,83.62,0
269,333,398,2023-12-09,1651.86,106.08,5
270,77,624,2024-06-23,472.95,155.12,0
271,288,718,2025-04-12,489.6,14.14,0
272,493,643,2025-02-02,1326.94,272.13,0
273,47,369,2024-01-27,1707.41,22.86,0
274,110,501,2025-03-15,997.18,103.51,0
275,200,622,2025-01-16,1481.21,175.06,0
276,427,370,2025-05-04,1998.73,160.17,0
277,210,579,2024-09-09,1981.5,199.79,5
278,376,382,2024-08-30,1514.24,162.98,0
279,420,86,2024-03-16,1505.21,76.41,10
280,154,787,2025-05-09,570.48,68.31,5
281,10,739,2024-02-23,1683.73,273.1,0
282,415,460,2024-11-23,869.69,86.55,0
283,353,950,2025-05-03,1927.79,91.48,0
284,157,325,2023-10-19,254.71,129.76,10
285,261,522,2023-08-12,928.1,50.44,30
286,77,489,2024-12-24,1156.1,157.11,0
287,257,929,2024-08-25,869.8,202.86,0
288,471,397,2024-09-10,500.1,237.94,0
289,488,896,2025-04-27,1226.68,216.32,0
290,131,355,2024-10-28,1536.24,52.81,0
291,67,947,2025-04-15,1325.19,142.26,0
292,455,288,2023-12-17,545.45,21.19,5
293,228,459,2023-11-22,1490.06,15.16,15
294,163,624,2023-11-16,588.11,137.64,0
295,15,998,2024-08-04,432.88,83.36,0
296,232,536,2024-10-03,1412.27,208.17,5
297,195,291,2023-07-31,1701.3,220.03,0
298,349,851,2023-09-30,1014.92,269.67,0
299,30,838,2024-08-17,1109.64,230.6,0
300,359,168,2024-10-09,675.22,23.99,0
301,338,950,2024-01-22,1039.77,117.77,0
302,331,621,2024-06-21,350.77,89.18,0
303,427,428,2025-04-17,1916.08,121.98,5
304,497,702,2025-05-10,1620.69,56.42,0
305,316,490,2024-05-06,1369.15,38.33,0
306,486,355,2025-07-02,1122.57,161.09,0
307,296,196,2025-04-08,1605.12,218.91,0
308,449,545,2024-06-04,1040.04,213.55,15
309,413,717,2024-06-10,669.95,140.77,0
310,330,824,2023-08-03,404.71,161.46,0
311,220,932,2024-08-13,1330.41,159.74,5
312,377,694,2024-03-25,1865.91,210.56,0
313,479,659,2024-02-02,391.88,23.9,5
314,147,939,2024-07-01,442.03,215.87,0
315,259,780,2025-07-26,923.85,178.84,0
316,292,11,2024-08-29,1633.11,67.45,10
317,299,582,2023-12-27,658.45,24.23,0
318,143,256,2023-08-05,582.43,41.47,0
319,481,396,2024-08-01,1277.94,162.16,0
320,425,731,2025-03-03,1117.67,229.94,0
321,235,809,2024-09-17,214.42,107.05,5
322,115,409,2023-08-22,254.83,119.95,0
323,365,362,2025-07-21,1321.72,280.9,0
324,90,259,2024-04-13,983.73,71.77,0
325,208,3,2024-04-22,1944.86,40.09,0
326,164,84,2024-04-06,1389.21,109.59,5
327,481,156,2024-12-06,119.14,226.32,0
328,84,663,2025-05-28,1013.94,191.56,5
329,77,176,2023-10-17,887.45,130.58,0
330,161,707,2024-02-09,302.76,289.78,0
331,5,938,2024-05-15,1854.1,223.15,15
332,485,472,2025-02-22,1629.52,27.94,0
333,78,619,2024-08-04,537.16,225.94,0
334,91,424,2024-07-29,586.36,16.97,0
335,87,134,2024-12-09,160.83,198.59,0
336,270,788,2023-09-14,663.76,71.04,0
337,104,907,2025-03-19,1210.78,211.97,0
338,452,864,2024-05-12,899.6,99.84,0
339,487,380,2025-06-03,1941.59,263.17,0
340,500,667,2024-12-29,206.55,107.71,0
341,339,277,2025-07-19,1223.72,189.71,0
342,175,236,2024-08-16,1730.79,92.92,0
343,54,752,2024-06-12,1013.41,275.99,0
344,388,882,2024-01-11,105.63,236.49,0
345,478,13,2023-10-04,561.32,80.56,15
346,211,342,2024-06-06,715.16,285.15,0
347,95,35,2023-08-15,1935.39,113.58,10
348,223,559,2024-09-15,1832.37,199.04,0
349,9,214,2024-05-17,1903.42,225.43,0
350,53,412,2024-05-09,1668.94,16.64,0
351,77,405,2024-07-10,768.13,288.1,5
352,206,494,2023-09-18,1821.17,109.89,0
353,316,658,2025-07-20,1965.2,65.04,15
354,302,159,2023-11-18,765.14,256.71,0
355,310,956,2025-03-26,595.06,213.84,0
356,330,637,2024-02-07,1139.14,35.16,5
357,112,110,2024-06-25,455.59,43.94,0
358,351,549,2025-01-22,161.99,217.41,0
359,165,789,2024-10-17,1897.08,31.69,0
360,279,526,2024-05-31,1858.91,275.98,5
361,27,985,2024-08-17,409.04,225.05,0
362,70,347,2024-04-04,874.71,107.29,0
363,218,744,2025-05-18,1678.97,115.25,0
364,450,828,2025-01-29,1355.9,156.88,0
365,365,636,2024-09-04,850.1,114.68,0
366,189,279,2024-07-03,1513.92,237.21,0
367,333,479,2023-09-18,1804.39,292.67,0
368,435,111,2025-07-16,1859.7,179.51,0
369,306,636,2023-12-04,819.81,139.35,0
370,124,925,2024-11-09,429.77,74.6,0
371,19,431,2023-12-22,1834.39,199.5,0
372,257,542,2024-08-02,275.86,208.82,0
373,296,115,2025-07-03,1471.21,208.71,0
374,416,90,2024-05-25,366.94,17.83,15
375,22,212,2025-06-25,839.84,270.75,0
376,368,550,2024-10-31,881.96,108.05,0
377,477,595,2025-04-11,401.64,225.81,0
378,450,539,2023-10-16,1853.09,230.34,0
379,40,729,2025-04-21,105.07,198.66,0
380,38,360,2023-12-16,1798.24,124.51,5
381,48,486,2024-01-23,1779.28,186.43,0
382,183,372,2024-06-22,702.23,21.66,0
383,75,215,2025-06-01,1438.14,230.95,0
384,209,733,2024-06-07,580.34,38.88,5
385,183,15,2023-08-01,1541.67,125.06,0
386,435,955,2024-09-24,1166.13,40.05,0
387,107,259,2024-12-13,670.43,252.75,0
388,188,778,2023-10-08,860.45,169.59,0
389,264,463,2023-11-10,1410.79,210.38,5
390,86,120,2024-03-18,1821.59,207.95,0
391,324,976,2023-12-26,348.38,254.07,0
392,331,913,2025-07-29,1185.59,48.45,0
393,456,128,2024-06-18,582.09,201.32,0
394,137,723,2025-05-03,1622.61,176.79,0
395,346,523,2024-10-24,233.45,18.96,5
396,386,688,2025-01-10,1409.02,68.41,0
397,336,645,2025-05-08,432.4,87.6,0
398,95,325,2023-12-29,1233.13,31.04,0
399,326,320,2025-01-02,1687.82,112.87,5
400,245,506,2025-07-20,1534.65,17.89,0
401,469,526,2025-02-28,1530.59,170.42,15
402,90,50,2025-06-27,1083.91,71.34,0
403,59,922,2025-02-16,1792.42,93.23,0
404,403,584,2024-07-07,1217.4,274.04,0
405,28,69,2024-10-13,1843.28,155.82,0
406,72,391,2024-10-10,1138.39,88.01,0
407,270,383,2023-10-30,1061.33,183.55,0
408,24,16,2023-08-08,522.47,68.48,0
409,112,439,2025-03-09,1135.09,31.57,0
410,300,846,2023-10-30,367.11,16.06,0
411,485,869,2024-01-02,1752.41,285.94,0
412,56,568,2025-06-27,1384.19,220.14,5
413,474,617,2024-07-24,1987.91,241.98,0
414,223,132,2024-10-25,274.99,294.47,5
415,120,996,2024-04-22,557.28,280.17,0
416,179,560,2024-07-29,1766.6,223.7,0
417,288,248,2025-01-07,850.98,211.26,15
418,434,273,2023-09-30,985.98,107.69,0
419,425,623,2023-08-28,1735.24,40.17,0
420,450,932,2024-11-01,1091.46,176.38,0
421,281,838,2024-05-16,467.6,177.11,0
422,372,848,2024-09-27,1794.86,286.15,0
423,492,349,2024-03-25,159.02,138.35,5
424,189,484,2023-12-25,1801.25,210.33,0
425,66,550,2025-04-19,195.99,176.74,0
426,298,357,2023-10-31,1365.11,61.26,0
427,449,752,2025-03-08,236.19,181.7,0
428,420,318,2024-03-21,1441.8,166.63,0
429,249,633,2025-03-15,164.55,153.23,0
430,76,48,2023-08-30,1700.67,158.89,0
431,137,10,2025-07-10,985.29,57.56,5
432,164,233,2024-12-18,277.56,144.41,0
433,233,36,2024-02-02,1442.96,185.64,0
434,255,413,2023-10-07,1029.65,151.94,0
435,476,462,2024-01-26,462.8,151.72,5
436,294,4,2025-01-05,129.78,32.48,0
437,417,44,2025-04-09,894.2,65.32,5
438,170,568,2024-06-07,262.7,103.08,0
439,317,554,2025-03-13,278.92,131.61,0
440,174,255,2023-09-04,607.93,182.24,0
441,470,740,2024-03-25,1297.87,260.37,0
442,345,114,2025-02-05,1106.83,56.16,0
443,445,749,2024-09-18,231.08,14.38,5
444,18,397,2023-08-13,1940.02,140.28,0
445,70,174,2023-11-29,1785.62,135.31,0
446,338,255,2025-05-05,592.53,170.05,0
447,116,466,2024-04-13,332.44,251.63,0
448,80,929,2024-05-08,1890.57,242.68,0
449,15,277,2025-06-28,976.17,39.01,0
450,176,464,2024-12-02,691.22,280.86,0
451,456,847,2025-06-13,1031.68,42.02,0
452,269,502,2024-10-02,1568.21,194.03,0
453,119,441,2025-03-18,419.93,205.0,0
454,299,69,2024-02-17,1558.24,207.16,0
455,188,509,2024-05-07,1523.95,86.95,0
456,57,326,2023-11-16,1124.76,105.8,10
457,199,742,2023-11-27,1745.1,169.12,0
458,17,67,2024-08-21,351.07,67.88,0
459,434,304,2024-01-18,1231.41,15.89,0
460,288,972,2025-04-11,953.75,173.02,0
461,406,484,2024-10-27,902.36,144.93,0
462,55,929,2024-01-29,579.87,200.45,30
463,499,548,2025-06-21,807.33,52.54,0
464,441,417,2025-02-09,305.49,253.87,0
465,269,159,2025-06-13,578.04,52.4,0
466,303,149,2023-08-03,616.73,268.49,0
467,87,27,2025-05-19,1469.27,140.36,0
468,318,987,2025-01-31,192.25,169.44,10
469,438,584,2024-06-05,1337.27,270.01,0
470,29,248,2025-07-04,520.68,96.97,0
471,22,101,2025-01-15,255.54,62.73,15
472,321,702,2024-01-07,671.53,139.27,0
473,285,96,2024-09-05,526.5,80.87,0
474,48,384,2023-12-02,1148.86,163.07,0
475,5,282,2025-01-12,779.02,89.82,0
476,250,322,2024-06-03,1935.39,260.7,0
477,163,396,2024-10-19,1930.74,186.12,5
478,202,278,2024-08-31,943.06,10.07,5
479,467,529,2025-07-13,1610.67,243.59,0
480,101,263,2025-02-23,125.21,105.76,0
481,71,619,2025-01-14,1140.84,102.86,5
482,430,580,2024-08-24,1512.27,121.09,0
483,163,640,2024-03-25,512.19,192.78,0
484,173,293,2024-05-25,216.23,138.2,0
485,141,294,2025-05-03,396.25,192.3,0
486,138,608,2024-01-28,939.51,52.57,10
487,66,395,2023-08-11,1062.11,291.35,0
488,198,513,2024-03-17,823.68,221.59,0
489,328,921,2024-01-28,935.95,82.56,0
490,228,810,2025-02-19,993.45,220.01,0
491,281,180,2024-05-31,1561.93,176.76,0
492,172,920,2025-01-05,299.96,41.66,0
493,316,693,2024-12-31,1561.01,61.68,5
494,431,235,2024-11-04,1408.39,21.98,0
495,40,952,2025-05-07,1509.16,244.68,15
496,7,831,2025-06-29,1495.49,169.99,0
497,174,337,2023-10-17,994.12,101.86,0
498,151,8,2024-09-13,501.66,46.64,0
499,211,443,2025-02-13,1119.59,150.37,5
500,302,941,2024-01-13,1920.17,162.33,0
501,86,539,2025-06-29,1218.2,213.57,0
502,397,820,2024-05-06,120.99,291.28,0
503,253,658,2025-01-21,213.45,136.13,0
504,21,91,2024-12-19,1986.44,127.75,0
505,257,854,2025-07-21,236.7,117.28,0
506,379,272,2024-06-30,187.49,249.81,0
507,403,834,2025-02-28,770.75,55.33,0
508,381,5,2024-03-30,1941.7,109.71,0
509,444,594,2025-02-21,705.48,220.24,0
510,33,899,2023-10-07,878.78,14.55,0
511,260,219,2025-05-02,1304.75,93.92,0
512,234,118,2023-08-26,145.81,196.02,0
513,3,593,2024-01-16,1805.75,63.93,0
514,347,976,2024-05-16,1086.94,97.79,0
515,308,582,2025-02-25,986.94,150.95,0
516,489,115,2024-01-10,1735.38,132.39,0
517,227,263,2024-05-07,1910.85,40.75,0
518,284,306,2024-01-05,904.51,282.09,0
519,70,654,2024-03-31,427.64,22.84,0
520,454,422,2023-09-25,1649.85,227.43,0
521,439,1000,2025-06-09,866.19,30.71,0
522,313,207,2024-01-05,1877.54,145.52,0
523,364,623,2025-06-20,1904.81,60.87,0
524,471,303,2025-05-10,318.18,50.92,0
525,254,112,2023-09-07,1917.45,46.51,0
526,481,417,2025-03-04,799.71,141.31,0
527,144,555,2024-04-18,1327.88,159.49,30
528,24,859,2025-05-19,166.03,48.68,0
529,453,285,2023-11-18,1788.88,294.02,0
530,425,640,2024-04-15,1319.03,84.75,0
531,234,185,2024-06-13,1322.75,143.06,0
532,333,741,2023-11-14,1814.13,72.72,0
533,175,901,2023-12-31,1065.86,153.24,0
534,332,221,2024-08-09,879.98,229.24,5
535,325,864,2024-05-11,1745.64,161.12,0
536,357,444,2024-03-20,1510.6,92.84,0
537,159,117,2023-12-26,1903.05,82.04,0
538,348,70,2024-08-31,1886.23,230.09,0
539,348,898,2023-12-01,826.42,44.29,10
540,286,70,2024-03-09,949.27,117.29,0
541,18,622,2024-07-03,586.37,53.93,0
542,44,427,2024-12-06,1355.23,84.81,0
543,155,644,2025-03-15,792.63,54.28,0
544,355,568,2025-05-14,1593.59,267.16,5
545,410,989,2024-05-16,330.95,222.25,10
546,377,443,2023-12-08,321.17,172.67,0
547,231,601,2025-06-29,488.47,75.08,0
548,497,137,2024-09-21,260.16,157.97,10
549,371,504,2024-07-09,1278.06,161.04,0
550,316,131,2025-06-22,379.97,181.22,0
551,402,218,2025-02-03,403.93,27.42,0
552,225,688,2024-03-11,127.03,292.14,0
553,217,171,2024-11-03,1585.97,144.98,0
554,56,475,2024-11-09,1643.36,278.69,15
555,31,612,2024-03-10,407.84,12.84,0
556,357,992,2023-12-05,1505.1,81.79,0
557,59,129,2024-03-27,923.74,40.16,0
558,380,57,2023-10-29,555.23,233.19,0
559,386,181,2025-05-26,1280.63,102.84,0
560,353,246,2025-03-24,439.12,253.74,0
561,423,144,2025-03-03,1538.08,251.39,0
562,445,51,2025-03-08,190.47,203.66,0
563,235,368,2025-03-12,1922.35,203.08,0
564,107,459,2024-11-02,236.56,213.05,0
565,191,218,2024-07-19,1200.95,205.39,0
566,480,616,2024-09-26,1814.17,122.2,0
567,18,895,2025-04-12,122.62,208.02,15
568,401,567,2025-03-27,1047.18,270.25,0
569,226,257,2023-12-30,765.01,106.45,0
570,167,858,2024-12-23,1202.63,284.02,0
571,71,156,2023-10-12,528.37,13.94,0
572,362,565,2025-03-30,223.31,111.23,0
573,54,442,2025-03-19,1289.27,48.31,0
574,245,841,2024-02-04,892.01,46.72,0
575,483,956,2025-03-28,1282.72,246.47,0
576,350,699,2025-05-23,500.02,276.33,15
577,76,876,2023-09-07,743.61,235.55,0
578,35,662,2025-04-24,1167.19,293.22,0
579,267,776,2024-08-16,1226.91,72.74,0
580,317,762,2025-06-14,807.4,50.83,5
581,300,945,2023-08-04,632.1,161.0,0
582,121,810,2023-10-30,620.03,250.42,0
583,324,923,2023-09-16,431.93,21.55,0
584,25,935,2024-03-01,718.27,298.71,0
585,432,723,2024-08-25,478.94,184.65,0
586,160,25,2024-12-17,1304.25,293.89,0
587,84,806,2024-01-30,1181.23,115.87,0
588,114,853,2023-09-29,826.92,142.83,0
589,223,664,2024-11-20,719.08,228.18,10
590,388,536,2025-05-04,551.47,239.88,0
591,166,764,2024-12-20,1117.37,77.58,0
